subj,phase,block,trial,stim,resp,rt,pstimL,pstimR,outcome,date
1,1,1,1,A,0,9.206627208,,banana,Stomach Ache,2016_Oct_18_1421
1,1,1,2,AX,1,7.127531333,banana,apple,Stomach Ache,2016_Oct_18_1421
1,1,1,3,BY,1,24.04874833,orange,strawberry,Stomach Ache,2016_Oct_18_1421
1,1,1,4,CY,1,13.75112639,orange,pear,No Stomach Ache,2016_Oct_18_1421
1,1,1,5,BY,1,6.172792644,strawberry,orange,Stomach Ache,2016_Oct_18_1421
1,1,1,6,A,1,4.377133321,banana,,Stomach Ache,2016_Oct_18_1421
1,1,1,7,CY,1,22.29833353,pear,orange,No Stomach Ache,2016_Oct_18_1421
1,1,1,8,AX,1,7.688393584,apple,banana,Stomach Ache,2016_Oct_18_1421
1,1,2,9,AX,1,2.344291805,apple,banana,Stomach Ache,2016_Oct_18_1421
1,1,2,10,CY,0,3.156721304,pear,orange,No Stomach Ache,2016_Oct_18_1421
1,1,2,11,AX,1,4.781829418,banana,apple,Stomach Ache,2016_Oct_18_1421
1,1,2,12,A,1,2.688094706,banana,,Stomach Ache,2016_Oct_18_1421
1,1,2,13,BY,0,4.750985196,orange,strawberry,Stomach Ache,2016_Oct_18_1421
1,1,2,14,CY,0,2.906833811,orange,pear,No Stomach Ache,2016_Oct_18_1421
1,1,2,15,A,1,3.064347252,,banana,Stomach Ache,2016_Oct_18_1421
1,1,2,16,BY,0,4.156854726,strawberry,orange,Stomach Ache,2016_Oct_18_1421
1,1,3,17,CY,0,1.312960545,orange,pear,No Stomach Ache,2016_Oct_18_1421
1,1,3,18,BY,1,3.191283938,orange,strawberry,Stomach Ache,2016_Oct_18_1421
1,1,3,19,CY,0,2.689369528,pear,orange,No Stomach Ache,2016_Oct_18_1421
1,1,3,20,BY,1,2.406981384,strawberry,orange,Stomach Ache,2016_Oct_18_1421
1,1,3,21,A,1,1.500095635,,banana,Stomach Ache,2016_Oct_18_1421
1,1,3,22,AX,1,1.125644448,apple,banana,Stomach Ache,2016_Oct_18_1421
1,1,3,23,A,1,0.814904189,banana,,Stomach Ache,2016_Oct_18_1421
1,1,3,24,AX,1,1.093950552,banana,apple,Stomach Ache,2016_Oct_18_1421
1,1,4,25,A,1,3.096615268,,banana,Stomach Ache,2016_Oct_18_1421
1,1,4,26,BY,1,2.094219885,strawberry,orange,Stomach Ache,2016_Oct_18_1421
1,1,4,27,BY,1,2.656454303,orange,strawberry,Stomach Ache,2016_Oct_18_1421
1,1,4,28,CY,0,2.25078133,pear,orange,No Stomach Ache,2016_Oct_18_1421
1,1,4,29,CY,0,2.347876484,orange,pear,No Stomach Ache,2016_Oct_18_1421
1,1,4,30,AX,1,4.094341178,apple,banana,Stomach Ache,2016_Oct_18_1421
1,1,4,31,A,1,2.033345038,banana,,Stomach Ache,2016_Oct_18_1421
1,1,4,32,AX,1,0.8751508,banana,apple,Stomach Ache,2016_Oct_18_1421
